Descritpion_ID,Top_20_Image_IDs
0.txt,1380.jpg 1011.jpg 1161.jpg 46.jpg 3.jpg 912.jpg 338.jpg 153.jpg 760.jpg 484.jpg 1040.jpg 352.jpg 1658.jpg 922.jpg 329.jpg 931.jpg 312.jpg 95.jpg 991.jpg 1942.jpg
1.txt,674.jpg 1199.jpg 428.jpg 331.jpg 80.jpg 1714.jpg 1184.jpg 818.jpg 1068.jpg 1615.jpg 1134.jpg 1989.jpg 587.jpg 1733.jpg 635.jpg 107.jpg 1559.jpg 850.jpg 355.jpg 1639.jpg
2.txt,1183.jpg 838.jpg 1292.jpg 1471.jpg 696.jpg 634.jpg 600.jpg 904.jpg 159.jpg 476.jpg 445.jpg 511.jpg 42.jpg 372.jpg 60.jpg 781.jpg 1866.jpg 539.jpg 1896.jpg 979.jpg
3.txt,770.jpg 1514.jpg 1513.jpg 1112.jpg 799.jpg 1727.jpg 1315.jpg 469.jpg 654.jpg 451.jpg 829.jpg 1207.jpg 1215.jpg 1850.jpg 1765.jpg 26.jpg 1700.jpg 235.jpg 1430.jpg 1998.jpg
4.txt,808.jpg 46.jpg 1913.jpg 1161.jpg 1231.jpg 1700.jpg 305.jpg 1400.jpg 1446.jpg 760.jpg 1980.jpg 849.jpg 1384.jpg 912.jpg 549.jpg 1088.jpg 1243.jpg 1479.jpg 1850.jpg 1886.jpg
5.txt,1088.jpg 1700.jpg 1594.jpg 1292.jpg 249.jpg 1630.jpg 393.jpg 1335.jpg 800.jpg 825.jpg 1913.jpg 1693.jpg 1889.jpg 476.jpg 60.jpg 846.jpg 600.jpg 1790.jpg 496.jpg 951.jpg
6.txt,1151.jpg 1790.jpg 1377.jpg 262.jpg 655.jpg 1855.jpg 1768.jpg 1465.jpg 1940.jpg 1885.jpg 1275.jpg 1701.jpg 1815.jpg 1944.jpg 1216.jpg 1660.jpg 1289.jpg 996.jpg 458.jpg 1265.jpg
7.txt,975.jpg 1488.jpg 1857.jpg 1249.jpg 689.jpg 448.jpg 1302.jpg 987.jpg 685.jpg 1270.jpg 481.jpg 1961.jpg 1285.jpg 1085.jpg 1239.jpg 1694.jpg 1155.jpg 627.jpg 1328.jpg 1362.jpg
8.txt,537.jpg 991.jpg 1031.jpg 419.jpg 1283.jpg 1399.jpg 3.jpg 1942.jpg 1261.jpg 1004.jpg 1570.jpg 659.jpg 352.jpg 719.jpg 472.jpg 923.jpg 665.jpg 1048.jpg 102.jpg 1902.jpg
9.txt,1446.jpg 1913.jpg 1700.jpg 1088.jpg 1254.jpg 46.jpg 1292.jpg 800.jpg 614.jpg 1594.jpg 188.jpg 760.jpg 1837.jpg 829.jpg 351.jpg 1335.jpg 393.jpg 808.jpg 1402.jpg 1031.jpg
10.txt,696.jpg 904.jpg 1471.jpg 1482.jpg 979.jpg 476.jpg 600.jpg 634.jpg 159.jpg 1183.jpg 322.jpg 511.jpg 496.jpg 539.jpg 838.jpg 1023.jpg 1366.jpg 1197.jpg 260.jpg 1896.jpg
11.txt,1913.jpg 1088.jpg 1700.jpg 814.jpg 1693.jpg 1292.jpg 1254.jpg 1594.jpg 1335.jpg 829.jpg 846.jpg 1384.jpg 1402.jpg 614.jpg 372.jpg 1446.jpg 46.jpg 1630.jpg 1426.jpg 673.jpg
12.txt,393.jpg 1031.jpg 805.jpg 1656.jpg 1338.jpg 1918.jpg 1261.jpg 1594.jpg 1430.jpg 1397.jpg 923.jpg 472.jpg 1998.jpg 1686.jpg 406.jpg 539.jpg 1700.jpg 221.jpg 1680.jpg 1583.jpg
13.txt,899.jpg 1289.jpg 1151.jpg 1940.jpg 262.jpg 996.jpg 1020.jpg 1377.jpg 1465.jpg 655.jpg 1768.jpg 1275.jpg 1458.jpg 1311.jpg 1584.jpg 1265.jpg 1790.jpg 1018.jpg 648.jpg 1855.jpg
14.txt,1289.jpg 1151.jpg 262.jpg 899.jpg 897.jpg 996.jpg 414.jpg 1311.jpg 1940.jpg 655.jpg 1275.jpg 1377.jpg 1265.jpg 217.jpg 1465.jpg 458.jpg 1458.jpg 1933.jpg 910.jpg 718.jpg
15.txt,1999.jpg 1369.jpg 738.jpg 198.jpg 482.jpg 1839.jpg 1184.jpg 107.jpg 247.jpg 1615.jpg 1141.jpg 225.jpg 1477.jpg 149.jpg 818.jpg 1199.jpg 1102.jpg 1114.jpg 80.jpg 1507.jpg
16.txt,1088.jpg 1926.jpg 267.jpg 914.jpg 52.jpg 673.jpg 155.jpg 620.jpg 1132.jpg 1913.jpg 346.jpg 734.jpg 358.jpg 1127.jpg 1434.jpg 46.jpg 87.jpg 951.jpg 1433.jpg 37.jpg
17.txt,476.jpg 696.jpg 1183.jpg 1594.jpg 600.jpg 338.jpg 1700.jpg 838.jpg 372.jpg 496.jpg 539.jpg 1292.jpg 904.jpg 15.jpg 3.jpg 445.jpg 781.jpg 1031.jpg 511.jpg 1896.jpg
18.txt,1279.jpg 764.jpg 1463.jpg 1450.jpg 239.jpg 677.jpg 779.jpg 59.jpg 944.jpg 661.jpg 1528.jpg 1125.jpg 1819.jpg 725.jpg 409.jpg 605.jpg 794.jpg 320.jpg 650.jpg 432.jpg
19.txt,884.jpg 1189.jpg 824.jpg 207.jpg 1552.jpg 1831.jpg 1301.jpg 933.jpg 1595.jpg 817.jpg 1430.jpg 441.jpg 72.jpg 750.jpg 1358.jpg 573.jpg 1288.jpg 1152.jpg 474.jpg 275.jpg
