Descritpion_ID,Top_20_Image_IDs
0.txt,1846.jpg 499.jpg 689.jpg 1059.jpg 731.jpg 1395.jpg 541.jpg 1724.jpg 565.jpg 145.jpg 759.jpg 1406.jpg 500.jpg 1361.jpg 481.jpg 1021.jpg 1382.jpg 325.jpg 1962.jpg 1106.jpg
1.txt,180.jpg 1982.jpg 993.jpg 747.jpg 1179.jpg 1089.jpg 1967.jpg 1413.jpg 714.jpg 541.jpg 228.jpg 1180.jpg 499.jpg 1040.jpg 325.jpg 64.jpg 1596.jpg 953.jpg 731.jpg 1299.jpg
2.txt,1382.jpg 541.jpg 1430.jpg 51.jpg 1979.jpg 463.jpg 384.jpg 822.jpg 1290.jpg 84.jpg 1077.jpg 733.jpg 1256.jpg 1315.jpg 1802.jpg 1141.jpg 95.jpg 880.jpg 128.jpg 1234.jpg
3.txt,887.jpg 325.jpg 726.jpg 609.jpg 262.jpg 1848.jpg 731.jpg 154.jpg 1626.jpg 541.jpg 1106.jpg 1021.jpg 228.jpg 499.jpg 1724.jpg 155.jpg 172.jpg 10.jpg 2.jpg 1414.jpg
4.txt,660.jpg 1149.jpg 445.jpg 1933.jpg 277.jpg 394.jpg 1955.jpg 414.jpg 651.jpg 540.jpg 640.jpg 855.jpg 1585.jpg 1747.jpg 994.jpg 711.jpg 659.jpg 1855.jpg 1045.jpg 1459.jpg
5.txt,410.jpg 1866.jpg 177.jpg 275.jpg 862.jpg 65.jpg 595.jpg 1663.jpg 633.jpg 949.jpg 332.jpg 1499.jpg 1878.jpg 499.jpg 1106.jpg 1455.jpg 1368.jpg 183.jpg 833.jpg 731.jpg
6.txt,1672.jpg 768.jpg 1302.jpg 26.jpg 627.jpg 1531.jpg 1255.jpg 703.jpg 471.jpg 1010.jpg 1090.jpg 720.jpg 626.jpg 767.jpg 1224.jpg 743.jpg 271.jpg 15.jpg 342.jpg 28.jpg
7.txt,1768.jpg 1171.jpg 1382.jpg 1683.jpg 1267.jpg 941.jpg 541.jpg 51.jpg 1673.jpg 1280.jpg 1141.jpg 384.jpg 1430.jpg 1518.jpg 1108.jpg 1279.jpg 526.jpg 1077.jpg 1750.jpg 578.jpg
8.txt,1962.jpg 325.jpg 1858.jpg 731.jpg 1384.jpg 1926.jpg 117.jpg 541.jpg 1724.jpg 1106.jpg 1840.jpg 1940.jpg 1960.jpg 1435.jpg 1059.jpg 115.jpg 689.jpg 1206.jpg 1989.jpg 499.jpg
9.txt,394.jpg 1149.jpg 660.jpg 640.jpg 414.jpg 277.jpg 540.jpg 617.jpg 445.jpg 1327.jpg 1955.jpg 1045.jpg 651.jpg 994.jpg 942.jpg 1977.jpg 1855.jpg 1933.jpg 864.jpg 731.jpg
10.txt,810.jpg 236.jpg 1264.jpg 64.jpg 193.jpg 607.jpg 697.jpg 226.jpg 889.jpg 1961.jpg 1670.jpg 849.jpg 1812.jpg 1660.jpg 934.jpg 1716.jpg 1286.jpg 1155.jpg 731.jpg 939.jpg
11.txt,974.jpg 1785.jpg 873.jpg 1997.jpg 232.jpg 1297.jpg 125.jpg 517.jpg 731.jpg 1724.jpg 541.jpg 1273.jpg 494.jpg 1926.jpg 325.jpg 231.jpg 1503.jpg 1382.jpg 1840.jpg 1630.jpg
12.txt,1683.jpg 1092.jpg 1017.jpg 1171.jpg 1382.jpg 941.jpg 1430.jpg 1632.jpg 1475.jpg 1315.jpg 1172.jpg 1280.jpg 84.jpg 384.jpg 1768.jpg 822.jpg 352.jpg 511.jpg 51.jpg 95.jpg
13.txt,541.jpg 1382.jpg 325.jpg 1764.jpg 731.jpg 747.jpg 154.jpg 1267.jpg 1724.jpg 1106.jpg 926.jpg 602.jpg 733.jpg 1405.jpg 227.jpg 122.jpg 887.jpg 95.jpg 384.jpg 1021.jpg
14.txt,731.jpg 1106.jpg 1663.jpg 177.jpg 183.jpg 499.jpg 410.jpg 642.jpg 541.jpg 1414.jpg 1758.jpg 1021.jpg 1314.jpg 1724.jpg 1878.jpg 1368.jpg 1742.jpg 595.jpg 325.jpg 1858.jpg
15.txt,726.jpg 240.jpg 1837.jpg 1848.jpg 1626.jpg 609.jpg 1356.jpg 180.jpg 1567.jpg 172.jpg 1466.jpg 887.jpg 228.jpg 645.jpg 541.jpg 10.jpg 1724.jpg 1524.jpg 64.jpg 1881.jpg
16.txt,126.jpg 1992.jpg 1419.jpg 416.jpg 541.jpg 376.jpg 1188.jpg 1061.jpg 384.jpg 1016.jpg 1731.jpg 913.jpg 308.jpg 978.jpg 1348.jpg 696.jpg 1148.jpg 1048.jpg 1976.jpg 1333.jpg
17.txt,731.jpg 541.jpg 499.jpg 1414.jpg 887.jpg 1724.jpg 228.jpg 262.jpg 1382.jpg 325.jpg 689.jpg 1913.jpg 1413.jpg 1764.jpg 1106.jpg 843.jpg 1846.jpg 1021.jpg 1742.jpg 1858.jpg
18.txt,445.jpg 1149.jpg 660.jpg 277.jpg 1933.jpg 1376.jpg 414.jpg 1879.jpg 225.jpg 1687.jpg 202.jpg 790.jpg 1395.jpg 1712.jpg 897.jpg 1846.jpg 1361.jpg 1129.jpg 354.jpg 715.jpg
19.txt,731.jpg 1724.jpg 499.jpg 887.jpg 1106.jpg 325.jpg 1021.jpg 180.jpg 541.jpg 1382.jpg 1145.jpg 1059.jpg 1414.jpg 1181.jpg 1926.jpg 953.jpg 1846.jpg 154.jpg 782.jpg 780.jpg
20.txt,95.jpg 1382.jpg 1262.jpg 1802.jpg 1392.jpg 1556.jpg 227.jpg 733.jpg 128.jpg 1087.jpg 597.jpg 880.jpg 239.jpg 1662.jpg 599.jpg 1358.jpg 774.jpg 1506.jpg 905.jpg 1495.jpg
21.txt,36.jpg 1768.jpg 446.jpg 728.jpg 1505.jpg 1077.jpg 1704.jpg 954.jpg 843.jpg 349.jpg 541.jpg 1433.jpg 1118.jpg 4.jpg 731.jpg 545.jpg 996.jpg 1334.jpg 1607.jpg 856.jpg
22.txt,1955.jpg 640.jpg 1149.jpg 414.jpg 651.jpg 887.jpg 277.jpg 1045.jpg 394.jpg 660.jpg 1327.jpg 731.jpg 540.jpg 445.jpg 1747.jpg 541.jpg 232.jpg 325.jpg 262.jpg 1724.jpg
23.txt,410.jpg 1663.jpg 177.jpg 1932.jpg 966.jpg 1866.jpg 1368.jpg 275.jpg 1455.jpg 1613.jpg 1959.jpg 1106.jpg 949.jpg 595.jpg 175.jpg 1465.jpg 1878.jpg 1667.jpg 833.jpg 1824.jpg
24.txt,262.jpg 1970.jpg 325.jpg 894.jpg 887.jpg 1792.jpg 602.jpg 1292.jpg 154.jpg 213.jpg 1530.jpg 1311.jpg 1937.jpg 1405.jpg 300.jpg 228.jpg 1942.jpg 166.jpg 1372.jpg 1343.jpg
25.txt,1382.jpg 1430.jpg 879.jpg 51.jpg 1315.jpg 1768.jpg 84.jpg 1860.jpg 1017.jpg 1632.jpg 1077.jpg 541.jpg 1150.jpg 880.jpg 941.jpg 1673.jpg 1141.jpg 733.jpg 384.jpg 95.jpg
26.txt,1608.jpg 413.jpg 594.jpg 282.jpg 344.jpg 1535.jpg 1375.jpg 848.jpg 1483.jpg 1105.jpg 114.jpg 25.jpg 399.jpg 876.jpg 211.jpg 1414.jpg 1616.jpg 442.jpg 549.jpg 51.jpg
27.txt,1037.jpg 1065.jpg 1507.jpg 230.jpg 517.jpg 1503.jpg 974.jpg 60.jpg 232.jpg 1630.jpg 81.jpg 873.jpg 1519.jpg 1785.jpg 316.jpg 528.jpg 125.jpg 1218.jpg 1260.jpg 1474.jpg
28.txt,1315.jpg 1382.jpg 51.jpg 463.jpg 1768.jpg 352.jpg 1077.jpg 902.jpg 1430.jpg 639.jpg 141.jpg 1645.jpg 1860.jpg 84.jpg 1632.jpg 1647.jpg 1017.jpg 747.jpg 879.jpg 1106.jpg
29.txt,1382.jpg 1768.jpg 1077.jpg 1764.jpg 747.jpg 731.jpg 541.jpg 1913.jpg 1106.jpg 1705.jpg 227.jpg 51.jpg 526.jpg 843.jpg 228.jpg 384.jpg 1556.jpg 499.jpg 446.jpg 1413.jpg
30.txt,633.jpg 307.jpg 183.jpg 617.jpg 149.jpg 499.jpg 1499.jpg 731.jpg 78.jpg 1858.jpg 1724.jpg 1663.jpg 642.jpg 1736.jpg 46.jpg 1267.jpg 1713.jpg 1742.jpg 1607.jpg 541.jpg
31.txt,1315.jpg 352.jpg 961.jpg 902.jpg 1382.jpg 138.jpg 1523.jpg 619.jpg 51.jpg 1534.jpg 914.jpg 592.jpg 541.jpg 384.jpg 639.jpg 1430.jpg 1141.jpg 907.jpg 381.jpg 463.jpg
32.txt,381.jpg 1692.jpg 761.jpg 778.jpg 1380.jpg 531.jpg 1675.jpg 264.jpg 276.jpg 962.jpg 1864.jpg 365.jpg 1726.jpg 1049.jpg 598.jpg 814.jpg 731.jpg 756.jpg 144.jpg 285.jpg
33.txt,1461.jpg 913.jpg 416.jpg 541.jpg 126.jpg 1889.jpg 1188.jpg 1048.jpg 746.jpg 1148.jpg 978.jpg 14.jpg 1992.jpg 696.jpg 1339.jpg 723.jpg 1825.jpg 376.jpg 1419.jpg 58.jpg
34.txt,1962.jpg 1384.jpg 1840.jpg 1059.jpg 1435.jpg 1960.jpg 1406.jpg 1007.jpg 689.jpg 499.jpg 1926.jpg 1846.jpg 731.jpg 1724.jpg 303.jpg 232.jpg 1106.jpg 1206.jpg 677.jpg 974.jpg
35.txt,325.jpg 394.jpg 1414.jpg 731.jpg 180.jpg 1724.jpg 640.jpg 1106.jpg 998.jpg 381.jpg 1149.jpg 1955.jpg 1726.jpg 1253.jpg 1296.jpg 499.jpg 1926.jpg 1855.jpg 953.jpg 617.jpg
36.txt,262.jpg 887.jpg 228.jpg 541.jpg 154.jpg 1913.jpg 731.jpg 1382.jpg 639.jpg 1413.jpg 325.jpg 747.jpg 396.jpg 602.jpg 926.jpg 894.jpg 1848.jpg 1889.jpg 1764.jpg 1089.jpg
37.txt,1315.jpg 352.jpg 16.jpg 961.jpg 1430.jpg 902.jpg 51.jpg 84.jpg 1702.jpg 138.jpg 879.jpg 197.jpg 1523.jpg 1617.jpg 141.jpg 1382.jpg 1768.jpg 619.jpg 1017.jpg 1526.jpg
38.txt,499.jpg 731.jpg 1106.jpg 1724.jpg 1059.jpg 642.jpg 541.jpg 1846.jpg 974.jpg 1858.jpg 767.jpg 1607.jpg 1940.jpg 183.jpg 1145.jpg 1406.jpg 812.jpg 1663.jpg 495.jpg 635.jpg
39.txt,117.jpg 1972.jpg 1989.jpg 1872.jpg 841.jpg 603.jpg 201.jpg 1858.jpg 1386.jpg 265.jpg 518.jpg 812.jpg 23.jpg 115.jpg 1064.jpg 1981.jpg 241.jpg 254.jpg 656.jpg 678.jpg
40.txt,677.jpg 1059.jpg 355.jpg 1930.jpg 1175.jpg 906.jpg 303.jpg 1730.jpg 196.jpg 955.jpg 1841.jpg 1384.jpg 1905.jpg 884.jpg 1962.jpg 1528.jpg 1650.jpg 1406.jpg 1960.jpg 1691.jpg
41.txt,541.jpg 36.jpg 1768.jpg 1846.jpg 1705.jpg 1015.jpg 1094.jpg 1077.jpg 446.jpg 954.jpg 1724.jpg 731.jpg 325.jpg 843.jpg 1106.jpg 1267.jpg 1414.jpg 1607.jpg 180.jpg 1592.jpg
42.txt,96.jpg 2.jpg 48.jpg 263.jpg 1945.jpg 1844.jpg 1606.jpg 10.jpg 216.jpg 726.jpg 586.jpg 887.jpg 1626.jpg 1801.jpg 1921.jpg 1567.jpg 1292.jpg 609.jpg 1830.jpg 143.jpg
43.txt,1004.jpg 1794.jpg 485.jpg 1225.jpg 1252.jpg 168.jpg 71.jpg 802.jpg 290.jpg 1511.jpg 1536.jpg 113.jpg 1628.jpg 1056.jpg 953.jpg 644.jpg 836.jpg 541.jpg 1213.jpg 1742.jpg
44.txt,1382.jpg 541.jpg 1802.jpg 880.jpg 95.jpg 128.jpg 1768.jpg 733.jpg 227.jpg 1724.jpg 1705.jpg 731.jpg 1106.jpg 1392.jpg 463.jpg 5.jpg 1750.jpg 325.jpg 1846.jpg 1556.jpg
45.txt,1033.jpg 612.jpg 782.jpg 1641.jpg 122.jpg 1468.jpg 244.jpg 773.jpg 131.jpg 550.jpg 1645.jpg 1327.jpg 526.jpg 780.jpg 1177.jpg 747.jpg 729.jpg 602.jpg 47.jpg 1031.jpg
46.txt,1382.jpg 733.jpg 227.jpg 95.jpg 1802.jpg 880.jpg 1087.jpg 128.jpg 1392.jpg 597.jpg 1556.jpg 1506.jpg 1768.jpg 1315.jpg 1430.jpg 5.jpg 51.jpg 663.jpg 599.jpg 774.jpg
47.txt,228.jpg 1542.jpg 1214.jpg 300.jpg 1942.jpg 262.jpg 32.jpg 1970.jpg 816.jpg 631.jpg 475.jpg 1413.jpg 1336.jpg 1697.jpg 64.jpg 541.jpg 1412.jpg 1021.jpg 903.jpg 1764.jpg
48.txt,1823.jpg 648.jpg 1013.jpg 692.jpg 858.jpg 541.jpg 350.jpg 1033.jpg 1357.jpg 376.jpg 1267.jpg 499.jpg 416.jpg 1111.jpg 547.jpg 1106.jpg 1414.jpg 731.jpg 325.jpg 953.jpg
49.txt,733.jpg 95.jpg 1358.jpg 227.jpg 1495.jpg 1802.jpg 599.jpg 905.jpg 11.jpg 1382.jpg 128.jpg 1099.jpg 1113.jpg 880.jpg 5.jpg 1744.jpg 663.jpg 1392.jpg 1506.jpg 705.jpg
50.txt,1757.jpg 580.jpg 1908.jpg 378.jpg 650.jpg 1414.jpg 1611.jpg 325.jpg 1746.jpg 181.jpg 693.jpg 1373.jpg 1587.jpg 911.jpg 415.jpg 169.jpg 405.jpg 541.jpg 1020.jpg 1125.jpg
51.txt,1802.jpg 599.jpg 95.jpg 1087.jpg 597.jpg 754.jpg 552.jpg 5.jpg 227.jpg 128.jpg 1744.jpg 1382.jpg 733.jpg 860.jpg 1392.jpg 905.jpg 11.jpg 1358.jpg 630.jpg 1034.jpg
52.txt,541.jpg 1802.jpg 1400.jpg 1382.jpg 733.jpg 95.jpg 227.jpg 128.jpg 554.jpg 1158.jpg 880.jpg 260.jpg 1744.jpg 352.jpg 5.jpg 1392.jpg 1413.jpg 1087.jpg 619.jpg 1315.jpg
53.txt,1539.jpg 1267.jpg 1095.jpg 381.jpg 1108.jpg 731.jpg 1106.jpg 180.jpg 64.jpg 1414.jpg 1657.jpg 1982.jpg 499.jpg 926.jpg 887.jpg 1518.jpg 747.jpg 560.jpg 642.jpg 541.jpg
54.txt,1264.jpg 193.jpg 64.jpg 697.jpg 1155.jpg 810.jpg 1660.jpg 934.jpg 1286.jpg 226.jpg 236.jpg 607.jpg 849.jpg 527.jpg 1812.jpg 984.jpg 939.jpg 1946.jpg 889.jpg 1670.jpg
55.txt,1405.jpg 346.jpg 1770.jpg 1236.jpg 1728.jpg 1917.jpg 1907.jpg 1292.jpg 541.jpg 366.jpg 1267.jpg 733.jpg 1382.jpg 325.jpg 1598.jpg 887.jpg 1881.jpg 95.jpg 731.jpg 1489.jpg
56.txt,1267.jpg 926.jpg 189.jpg 1814.jpg 541.jpg 731.jpg 1414.jpg 578.jpg 1077.jpg 1701.jpg 1913.jpg 499.jpg 325.jpg 843.jpg 1724.jpg 1106.jpg 1382.jpg 1108.jpg 1657.jpg 349.jpg
