Descritpion_ID,Top_20_Image_IDs
0.txt,1743.jpg 359.jpg 292.jpg 1231.jpg 942.jpg 1131.jpg 36.jpg 1698.jpg 1862.jpg 152.jpg 1535.jpg 1429.jpg 1135.jpg 897.jpg 1660.jpg 1218.jpg 141.jpg 124.jpg 1499.jpg 696.jpg
1.txt,589.jpg 833.jpg 1341.jpg 1529.jpg 1156.jpg 1907.jpg 1929.jpg 758.jpg 1753.jpg 948.jpg 435.jpg 1071.jpg 753.jpg 687.jpg 457.jpg 542.jpg 809.jpg 1417.jpg 1059.jpg 860.jpg
2.txt,1107.jpg 720.jpg 1713.jpg 1955.jpg 159.jpg 953.jpg 649.jpg 1866.jpg 1840.jpg 1665.jpg 184.jpg 445.jpg 1124.jpg 1724.jpg 598.jpg 1366.jpg 838.jpg 1471.jpg 3.jpg 1242.jpg
3.txt,654.jpg 836.jpg 397.jpg 1513.jpg 75.jpg 1865.jpg 1486.jpg 1922.jpg 799.jpg 1035.jpg 800.jpg 1514.jpg 1716.jpg 1429.jpg 141.jpg 152.jpg 1135.jpg 1535.jpg 1660.jpg 897.jpg
4.txt,359.jpg 942.jpg 1131.jpg 36.jpg 1743.jpg 292.jpg 1231.jpg 255.jpg 1862.jpg 1698.jpg 1479.jpg 897.jpg 152.jpg 141.jpg 1135.jpg 1429.jpg 1535.jpg 1218.jpg 1660.jpg 124.jpg
5.txt,554.jpg 1895.jpg 1888.jpg 699.jpg 1761.jpg 1693.jpg 526.jpg 814.jpg 614.jpg 1696.jpg 703.jpg 51.jpg 334.jpg 46.jpg 354.jpg 887.jpg 330.jpg 274.jpg 771.jpg 492.jpg
6.txt,1768.jpg 1153.jpg 1122.jpg 1151.jpg 1275.jpg 1216.jpg 1289.jpg 1584.jpg 1465.jpg 1320.jpg 1265.jpg 1758.jpg 1815.jpg 1855.jpg 1885.jpg 1655.jpg 1607.jpg 1625.jpg 1458.jpg 1734.jpg
7.txt,1949.jpg 627.jpg 1085.jpg 1285.jpg 1328.jpg 1155.jpg 1239.jpg 1249.jpg 528.jpg 689.jpg 1488.jpg 136.jpg 685.jpg 756.jpg 987.jpg 168.jpg 1270.jpg 409.jpg 448.jpg 481.jpg
8.txt,1847.jpg 1918.jpg 1817.jpg 1261.jpg 1397.jpg 266.jpg 419.jpg 1557.jpg 719.jpg 1346.jpg 1948.jpg 1622.jpg 134.jpg 1660.jpg 1535.jpg 141.jpg 1218.jpg 1429.jpg 1135.jpg 152.jpg
9.txt,354.jpg 1045.jpg 1118.jpg 1335.jpg 1322.jpg 554.jpg 1426.jpg 703.jpg 526.jpg 887.jpg 51.jpg 46.jpg 330.jpg 771.jpg 614.jpg 699.jpg 334.jpg 814.jpg 492.jpg 274.jpg
