Descritpion_ID,Top_20_Image_IDs
0.txt,1380.jpg 3.jpg 760.jpg 153.jpg 912.jpg 46.jpg 1161.jpg 338.jpg 1040.jpg 922.jpg 714.jpg 991.jpg 484.jpg 1658.jpg 68.jpg 1942.jpg 308.jpg 1011.jpg 352.jpg 329.jpg
1.txt,674.jpg 1714.jpg 1199.jpg 1989.jpg 818.jpg 1068.jpg 482.jpg 355.jpg 107.jpg 331.jpg 1615.jpg 1184.jpg 80.jpg 1876.jpg 1147.jpg 428.jpg 198.jpg 1639.jpg 1102.jpg 587.jpg
2.txt,838.jpg 1183.jpg 634.jpg 1292.jpg 1471.jpg 696.jpg 904.jpg 445.jpg 42.jpg 476.jpg 159.jpg 600.jpg 372.jpg 1033.jpg 1866.jpg 1896.jpg 393.jpg 60.jpg 511.jpg 1651.jpg
3.txt,1514.jpg 770.jpg 1513.jpg 799.jpg 1727.jpg 1112.jpg 829.jpg 469.jpg 1315.jpg 1486.jpg 1207.jpg 451.jpg 1850.jpg 1700.jpg 1035.jpg 75.jpg 654.jpg 1553.jpg 472.jpg 1215.jpg
4.txt,808.jpg 1161.jpg 849.jpg 608.jpg 1384.jpg 912.jpg 760.jpg 216.jpg 68.jpg 1606.jpg 112.jpg 549.jpg 1231.jpg 1243.jpg 46.jpg 150.jpg 604.jpg 1446.jpg 1474.jpg 1380.jpg
5.txt,1292.jpg 1088.jpg 1700.jpg 1913.jpg 1693.jpg 249.jpg 1630.jpg 1594.jpg 800.jpg 393.jpg 1335.jpg 825.jpg 476.jpg 1790.jpg 600.jpg 60.jpg 1254.jpg 1837.jpg 1889.jpg 829.jpg
6.txt,1855.jpg 1151.jpg 1790.jpg 262.jpg 1377.jpg 1275.jpg 655.jpg 1465.jpg 1701.jpg 1944.jpg 1768.jpg 1660.jpg 1940.jpg 1020.jpg 1815.jpg 1216.jpg 996.jpg 1458.jpg 1289.jpg 1009.jpg
7.txt,975.jpg 1488.jpg 1302.jpg 1857.jpg 1249.jpg 689.jpg 685.jpg 448.jpg 987.jpg 1961.jpg 1270.jpg 481.jpg 1085.jpg 1694.jpg 1239.jpg 1285.jpg 54.jpg 1362.jpg 627.jpg 1210.jpg
8.txt,537.jpg 991.jpg 419.jpg 659.jpg 1113.jpg 931.jpg 1658.jpg 102.jpg 1942.jpg 86.jpg 665.jpg 40.jpg 1170.jpg 1868.jpg 1399.jpg 1163.jpg 1912.jpg 959.jpg 1780.jpg 132.jpg
9.txt,1913.jpg 1446.jpg 1700.jpg 1254.jpg 1088.jpg 1837.jpg 1292.jpg 46.jpg 800.jpg 1335.jpg 351.jpg 249.jpg 760.jpg 1630.jpg 1455.jpg 1594.jpg 188.jpg 614.jpg 1231.jpg 829.jpg
10.txt,696.jpg 904.jpg 1471.jpg 1183.jpg 476.jpg 1482.jpg 496.jpg 600.jpg 539.jpg 393.jpg 1023.jpg 979.jpg 1421.jpg 15.jpg 511.jpg 60.jpg 117.jpg 338.jpg 838.jpg 1611.jpg
11.txt,1594.jpg 1088.jpg 1292.jpg 814.jpg 1913.jpg 1335.jpg 1254.jpg 800.jpg 1446.jpg 1693.jpg 1790.jpg 1700.jpg 829.jpg 372.jpg 1533.jpg 1402.jpg 1630.jpg 846.jpg 249.jpg 760.jpg
12.txt,393.jpg 1594.jpg 1031.jpg 923.jpg 1656.jpg 1430.jpg 1700.jpg 1918.jpg 805.jpg 221.jpg 1686.jpg 1583.jpg 1397.jpg 1261.jpg 406.jpg 1998.jpg 1680.jpg 153.jpg 472.jpg 1338.jpg
13.txt,1940.jpg 1151.jpg 1020.jpg 1790.jpg 1289.jpg 1606.jpg 655.jpg 262.jpg 1465.jpg 1377.jpg 899.jpg 996.jpg 1275.jpg 1265.jpg 1018.jpg 1855.jpg 1768.jpg 458.jpg 648.jpg 1458.jpg
14.txt,1289.jpg 262.jpg 1151.jpg 996.jpg 897.jpg 899.jpg 414.jpg 1940.jpg 1275.jpg 1311.jpg 1465.jpg 655.jpg 910.jpg 458.jpg 1377.jpg 1458.jpg 1265.jpg 217.jpg 1933.jpg 648.jpg
15.txt,738.jpg 1999.jpg 107.jpg 482.jpg 1369.jpg 198.jpg 247.jpg 1615.jpg 1184.jpg 1102.jpg 1839.jpg 225.jpg 1477.jpg 644.jpg 1192.jpg 668.jpg 1143.jpg 1177.jpg 463.jpg 1141.jpg
16.txt,1088.jpg 46.jpg 1127.jpg 267.jpg 305.jpg 1913.jpg 37.jpg 68.jpg 912.jpg 1132.jpg 52.jpg 914.jpg 1018.jpg 1243.jpg 1926.jpg 1384.jpg 673.jpg 1577.jpg 1504.jpg 87.jpg
17.txt,476.jpg 696.jpg 1594.jpg 1700.jpg 338.jpg 1183.jpg 1292.jpg 600.jpg 838.jpg 1011.jpg 322.jpg 496.jpg 1980.jpg 760.jpg 124.jpg 1896.jpg 904.jpg 372.jpg 1630.jpg 539.jpg
18.txt,1279.jpg 1463.jpg 764.jpg 1450.jpg 239.jpg 677.jpg 779.jpg 59.jpg 944.jpg 661.jpg 725.jpg 605.jpg 1125.jpg 1819.jpg 577.jpg 409.jpg 432.jpg 1528.jpg 650.jpg 1774.jpg
19.txt,884.jpg 1189.jpg 207.jpg 1430.jpg 1552.jpg 824.jpg 72.jpg 933.jpg 1831.jpg 441.jpg 1301.jpg 817.jpg 1288.jpg 474.jpg 750.jpg 1595.jpg 573.jpg 1358.jpg 258.jpg 1152.jpg
20.txt,1570.jpg 3.jpg 1656.jpg 1847.jpg 911.jpg 436.jpg 1031.jpg 1163.jpg 1446.jpg 923.jpg 1902.jpg 103.jpg 1261.jpg 406.jpg 1348.jpg 1197.jpg 1919.jpg 1057.jpg 1927.jpg 711.jpg
21.txt,960.jpg 817.jpg 1215.jpg 1921.jpg 573.jpg 207.jpg 471.jpg 731.jpg 267.jpg 235.jpg 824.jpg 148.jpg 441.jpg 1088.jpg 1207.jpg 1661.jpg 884.jpg 506.jpg 941.jpg 1189.jpg
22.txt,590.jpg 326.jpg 1814.jpg 1988.jpg 298.jpg 1138.jpg 201.jpg 1478.jpg 1031.jpg 1891.jpg 299.jpg 176.jpg 635.jpg 1675.jpg 624.jpg 1257.jpg 804.jpg 211.jpg 395.jpg 1942.jpg
23.txt,759.jpg 1356.jpg 385.jpg 1554.jpg 1545.jpg 707.jpg 780.jpg 39.jpg 1422.jpg 1964.jpg 1019.jpg 1349.jpg 454.jpg 491.jpg 363.jpg 733.jpg 578.jpg 1490.jpg 1274.jpg 278.jpg
24.txt,1633.jpg 584.jpg 536.jpg 74.jpg 1870.jpg 1974.jpg 1602.jpg 1406.jpg 1062.jpg 1445.jpg 1454.jpg 1681.jpg 1074.jpg 1115.jpg 1042.jpg 1732.jpg 522.jpg 1520.jpg 1307.jpg 87.jpg
25.txt,1215.jpg 1207.jpg 731.jpg 471.jpg 960.jpg 1097.jpg 267.jpg 26.jpg 1088.jpg 1727.jpg 1889.jpg 1070.jpg 825.jpg 1318.jpg 1765.jpg 770.jpg 235.jpg 249.jpg 155.jpg 1430.jpg
26.txt,1839.jpg 1999.jpg 1184.jpg 1141.jpg 198.jpg 1369.jpg 1147.jpg 107.jpg 738.jpg 225.jpg 482.jpg 1959.jpg 1615.jpg 1102.jpg 80.jpg 1507.jpg 1068.jpg 247.jpg 149.jpg 668.jpg
27.txt,673.jpg 370.jpg 87.jpg 1339.jpg 439.jpg 1012.jpg 1551.jpg 268.jpg 518.jpg 440.jpg 151.jpg 81.jpg 1633.jpg 708.jpg 1376.jpg 1990.jpg 1984.jpg 1254.jpg 1913.jpg 127.jpg
28.txt,198.jpg 1369.jpg 1839.jpg 1999.jpg 1184.jpg 107.jpg 1615.jpg 738.jpg 674.jpg 225.jpg 1192.jpg 482.jpg 1147.jpg 1102.jpg 149.jpg 80.jpg 1477.jpg 1507.jpg 247.jpg 1141.jpg
29.txt,760.jpg 1161.jpg 1296.jpg 216.jpg 614.jpg 604.jpg 540.jpg 1011.jpg 1535.jpg 473.jpg 619.jpg 1510.jpg 969.jpg 1069.jpg 1446.jpg 808.jpg 82.jpg 309.jpg 124.jpg 639.jpg
30.txt,1053.jpg 1553.jpg 1700.jpg 1627.jpg 723.jpg 1980.jpg 1321.jpg 476.jpg 1118.jpg 749.jpg 305.jpg 951.jpg 1889.jpg 1191.jpg 222.jpg 1207.jpg 1883.jpg 728.jpg 309.jpg 244.jpg
31.txt,635.jpg 1435.jpg 1281.jpg 211.jpg 1908.jpg 108.jpg 1784.jpg 176.jpg 1081.jpg 187.jpg 1474.jpg 801.jpg 1091.jpg 741.jpg 1631.jpg 282.jpg 1021.jpg 674.jpg 1017.jpg 1227.jpg
32.txt,848.jpg 1179.jpg 1706.jpg 1644.jpg 1834.jpg 864.jpg 982.jpg 420.jpg 343.jpg 89.jpg 1031.jpg 459.jpg 837.jpg 1389.jpg 1004.jpg 664.jpg 1656.jpg 1525.jpg 1336.jpg 844.jpg
33.txt,1988.jpg 1138.jpg 1891.jpg 326.jpg 1642.jpg 176.jpg 635.jpg 504.jpg 666.jpg 253.jpg 611.jpg 1942.jpg 1281.jpg 1199.jpg 590.jpg 1435.jpg 1021.jpg 682.jpg 484.jpg 1475.jpg
34.txt,1583.jpg 1946.jpg 1766.jpg 1666.jpg 1244.jpg 710.jpg 327.jpg 195.jpg 477.jpg 472.jpg 1829.jpg 283.jpg 1397.jpg 284.jpg 277.jpg 679.jpg 15.jpg 803.jpg 1947.jpg 1884.jpg
35.txt,1031.jpg 1389.jpg 476.jpg 393.jpg 539.jpg 1197.jpg 1847.jpg 696.jpg 1336.jpg 1896.jpg 1656.jpg 823.jpg 837.jpg 1644.jpg 1261.jpg 1611.jpg 496.jpg 24.jpg 472.jpg 1179.jpg
36.txt,1131.jpg 21.jpg 484.jpg 292.jpg 1698.jpg 942.jpg 1466.jpg 978.jpg 312.jpg 435.jpg 1749.jpg 1076.jpg 912.jpg 1561.jpg 1451.jpg 1822.jpg 1135.jpg 95.jpg 973.jpg 1219.jpg
37.txt,1980.jpg 305.jpg 1053.jpg 46.jpg 92.jpg 698.jpg 93.jpg 1992.jpg 1410.jpg 723.jpg 1011.jpg 153.jpg 309.jpg 1553.jpg 1286.jpg 1919.jpg 1446.jpg 105.jpg 912.jpg 760.jpg
38.txt,1031.jpg 1257.jpg 139.jpg 988.jpg 158.jpg 470.jpg 1478.jpg 1163.jpg 1656.jpg 3.jpg 1570.jpg 1182.jpg 419.jpg 632.jpg 548.jpg 912.jpg 1348.jpg 462.jpg 472.jpg 393.jpg
39.txt,548.jpg 17.jpg 298.jpg 425.jpg 252.jpg 1332.jpg 108.jpg 1912.jpg 1639.jpg 1588.jpg 1531.jpg 34.jpg 1793.jpg 959.jpg 988.jpg 142.jpg 125.jpg 665.jpg 450.jpg 858.jpg
40.txt,312.jpg 922.jpg 132.jpg 1958.jpg 912.jpg 1822.jpg 1243.jpg 1466.jpg 1451.jpg 112.jpg 1510.jpg 1384.jpg 1561.jpg 199.jpg 1161.jpg 484.jpg 978.jpg 956.jpg 959.jpg 1076.jpg
41.txt,1460.jpg 1219.jpg 690.jpg 697.jpg 305.jpg 1483.jpg 1942.jpg 1605.jpg 872.jpg 294.jpg 1853.jpg 1475.jpg 180.jpg 608.jpg 773.jpg 962.jpg 199.jpg 319.jpg 938.jpg 602.jpg
42.txt,1602.jpg 1633.jpg 522.jpg 1870.jpg 74.jpg 1406.jpg 684.jpg 536.jpg 1972.jpg 1722.jpg 1042.jpg 1681.jpg 1721.jpg 1036.jpg 1445.jpg 1062.jpg 565.jpg 101.jpg 1539.jpg 1206.jpg
43.txt,1686.jpg 624.jpg 1905.jpg 304.jpg 1517.jpg 1491.jpg 1130.jpg 1995.jpg 1251.jpg 805.jpg 857.jpg 951.jpg 417.jpg 1802.jpg 1031.jpg 764.jpg 472.jpg 1095.jpg 1677.jpg 1449.jpg
44.txt,378.jpg 108.jpg 1822.jpg 1639.jpg 204.jpg 816.jpg 1003.jpg 674.jpg 484.jpg 1257.jpg 942.jpg 635.jpg 215.jpg 1803.jpg 1868.jpg 1435.jpg 1828.jpg 882.jpg 1668.jpg 1451.jpg
45.txt,118.jpg 948.jpg 1610.jpg 1018.jpg 1599.jpg 298.jpg 177.jpg 916.jpg 1679.jpg 1257.jpg 1782.jpg 1127.jpg 282.jpg 1224.jpg 21.jpg 17.jpg 1231.jpg 651.jpg 1117.jpg 424.jpg
46.txt,1594.jpg 1118.jpg 372.jpg 1700.jpg 1218.jpg 309.jpg 338.jpg 476.jpg 1553.jpg 244.jpg 614.jpg 749.jpg 561.jpg 1011.jpg 1674.jpg 1533.jpg 629.jpg 998.jpg 1980.jpg 1033.jpg
47.txt,174.jpg 852.jpg 986.jpg 925.jpg 1767.jpg 1492.jpg 1515.jpg 1430.jpg 72.jpg 941.jpg 1397.jpg 1632.jpg 523.jpg 1501.jpg 803.jpg 805.jpg 148.jpg 1453.jpg 234.jpg 817.jpg
48.txt,600.jpg 1183.jpg 1033.jpg 765.jpg 1040.jpg 476.jpg 1144.jpg 696.jpg 445.jpg 1896.jpg 1611.jpg 117.jpg 539.jpg 904.jpg 24.jpg 1413.jpg 873.jpg 338.jpg 781.jpg 663.jpg
49.txt,484.jpg 1076.jpg 1527.jpg 674.jpg 1977.jpg 1257.jpg 976.jpg 1231.jpg 624.jpg 635.jpg 942.jpg 1535.jpg 435.jpg 851.jpg 1251.jpg 1066.jpg 425.jpg 1021.jpg 973.jpg 1827.jpg
50.txt,932.jpg 1711.jpg 183.jpg 1534.jpg 1302.jpg 1832.jpg 415.jpg 560.jpg 1290.jpg 1703.jpg 1363.jpg 1469.jpg 1022.jpg 1123.jpg 987.jpg 1362.jpg 836.jpg 1078.jpg 10.jpg 1190.jpg
51.txt,305.jpg 1088.jpg 46.jpg 68.jpg 199.jpg 912.jpg 1700.jpg 1980.jpg 1971.jpg 1231.jpg 1243.jpg 393.jpg 1553.jpg 167.jpg 312.jpg 951.jpg 1594.jpg 472.jpg 1031.jpg 1500.jpg
52.txt,1746.jpg 1926.jpg 620.jpg 734.jpg 172.jpg 1434.jpg 1062.jpg 87.jpg 1913.jpg 1798.jpg 1504.jpg 673.jpg 534.jpg 914.jpg 1342.jpg 451.jpg 1551.jpg 617.jpg 1630.jpg 1715.jpg
53.txt,1998.jpg 1906.jpg 1168.jpg 928.jpg 675.jpg 1493.jpg 1464.jpg 990.jpg 272.jpg 625.jpg 257.jpg 993.jpg 1700.jpg 97.jpg 437.jpg 393.jpg 1909.jpg 980.jpg 1338.jpg 1067.jpg
54.txt,707.jpg 1422.jpg 1356.jpg 291.jpg 780.jpg 491.jpg 1490.jpg 1019.jpg 219.jpg 1805.jpg 578.jpg 278.jpg 1964.jpg 1545.jpg 1554.jpg 39.jpg 1349.jpg 733.jpg 1873.jpg 827.jpg
55.txt,615.jpg 131.jpg 1161.jpg 1359.jpg 543.jpg 1498.jpg 1100.jpg 525.jpg 383.jpg 181.jpg 832.jpg 586.jpg 1202.jpg 1247.jpg 1238.jpg 1800.jpg 1975.jpg 164.jpg 473.jpg 808.jpg
56.txt,198.jpg 1369.jpg 1839.jpg 674.jpg 191.jpg 1477.jpg 1184.jpg 1999.jpg 482.jpg 1876.jpg 149.jpg 1141.jpg 738.jpg 247.jpg 1192.jpg 107.jpg 1381.jpg 1615.jpg 1075.jpg 587.jpg
57.txt,188.jpg 393.jpg 618.jpg 852.jpg 1930.jpg 1453.jpg 1700.jpg 406.jpg 523.jpg 167.jpg 60.jpg 1031.jpg 963.jpg 1996.jpg 1338.jpg 474.jpg 1335.jpg 699.jpg 1501.jpg 1656.jpg
58.txt,1940.jpg 1377.jpg 1465.jpg 1289.jpg 1020.jpg 1151.jpg 899.jpg 996.jpg 262.jpg 977.jpg 1458.jpg 655.jpg 897.jpg 1009.jpg 1265.jpg 648.jpg 1768.jpg 1275.jpg 623.jpg 367.jpg
59.txt,1602.jpg 74.jpg 1633.jpg 522.jpg 101.jpg 536.jpg 1870.jpg 1454.jpg 1062.jpg 1036.jpg 1722.jpg 684.jpg 1406.jpg 584.jpg 1732.jpg 1115.jpg 1520.jpg 593.jpg 1445.jpg 1681.jpg
60.txt,462.jpg 27.jpg 855.jpg 1293.jpg 1531.jpg 596.jpg 1332.jpg 1419.jpg 1958.jpg 1303.jpg 533.jpg 424.jpg 520.jpg 782.jpg 564.jpg 178.jpg 876.jpg 108.jpg 1687.jpg 1649.jpg
61.txt,1658.jpg 1113.jpg 40.jpg 931.jpg 1770.jpg 102.jpg 1942.jpg 1317.jpg 610.jpg 659.jpg 524.jpg 1912.jpg 1592.jpg 401.jpg 86.jpg 1399.jpg 352.jpg 34.jpg 537.jpg 665.jpg
62.txt,1919.jpg 633.jpg 153.jpg 1553.jpg 1656.jpg 110.jpg 1918.jpg 1031.jpg 981.jpg 1057.jpg 1547.jpg 1330.jpg 371.jpg 1720.jpg 739.jpg 476.jpg 1261.jpg 691.jpg 393.jpg 1443.jpg
63.txt,308.jpg 352.jpg 153.jpg 931.jpg 1658.jpg 453.jpg 912.jpg 537.jpg 991.jpg 1811.jpg 46.jpg 309.jpg 1161.jpg 849.jpg 1380.jpg 484.jpg 95.jpg 1862.jpg 1446.jpg 1384.jpg
64.txt,1302.jpg 1711.jpg 932.jpg 415.jpg 1832.jpg 1469.jpg 987.jpg 1362.jpg 183.jpg 886.jpg 10.jpg 1703.jpg 1123.jpg 1210.jpg 1022.jpg 1363.jpg 1534.jpg 1078.jpg 54.jpg 560.jpg
65.txt,1116.jpg 1173.jpg 23.jpg 5.jpg 1723.jpg 835.jpg 1199.jpg 1408.jpg 1114.jpg 1029.jpg 818.jpg 1006.jpg 201.jpg 1615.jpg 225.jpg 1550.jpg 1809.jpg 515.jpg 1689.jpg 527.jpg
66.txt,1958.jpg 462.jpg 1531.jpg 855.jpg 27.jpg 1293.jpg 596.jpg 312.jpg 178.jpg 782.jpg 520.jpg 1687.jpg 1942.jpg 1419.jpg 1332.jpg 1303.jpg 876.jpg 1649.jpg 533.jpg 1163.jpg
67.txt,812.jpg 125.jpg 1751.jpg 1229.jpg 442.jpg 401.jpg 1113.jpg 524.jpg 1963.jpg 974.jpg 387.jpg 102.jpg 123.jpg 1985.jpg 34.jpg 1592.jpg 1780.jpg 606.jpg 461.jpg 503.jpg
68.txt,462.jpg 1687.jpg 1293.jpg 1332.jpg 1531.jpg 855.jpg 520.jpg 1303.jpg 564.jpg 596.jpg 876.jpg 178.jpg 424.jpg 1958.jpg 533.jpg 1649.jpg 1419.jpg 27.jpg 1942.jpg 889.jpg
69.txt,1583.jpg 1946.jpg 195.jpg 327.jpg 1666.jpg 283.jpg 710.jpg 1766.jpg 1244.jpg 1829.jpg 1947.jpg 679.jpg 404.jpg 241.jpg 472.jpg 1467.jpg 664.jpg 15.jpg 284.jpg 551.jpg
70.txt,664.jpg 1946.jpg 404.jpg 581.jpg 710.jpg 362.jpg 1604.jpg 679.jpg 300.jpg 403.jpg 241.jpg 283.jpg 327.jpg 1467.jpg 1228.jpg 1048.jpg 1666.jpg 1425.jpg 195.jpg 1104.jpg
71.txt,990.jpg 97.jpg 1906.jpg 1493.jpg 1998.jpg 993.jpg 980.jpg 1168.jpg 662.jpg 928.jpg 303.jpg 625.jpg 909.jpg 1909.jpg 229.jpg 272.jpg 393.jpg 790.jpg 1651.jpg 660.jpg
72.txt,1180.jpg 1135.jpg 973.jpg 1945.jpg 939.jpg 68.jpg 637.jpg 1656.jpg 1790.jpg 1026.jpg 255.jpg 216.jpg 305.jpg 1261.jpg 1888.jpg 199.jpg 721.jpg 430.jpg 936.jpg 946.jpg
